"Timestamp","EventType","Action","AssetId","VariableId","Details","BytesAffected","Result","Source"
"2026-02-12 09:13:19","SystemStart","APLICACION_INICIADA","","","",0,"OK","UI"
"2026-02-12 09:18:05","SystemStart","RF07_INICIADO","","","Frecuencia: cada 24h, hora preferida: 2:00",0,"OK","SYSTEM"
"2026-02-12 09:18:47","SystemStart","APLICACION_INICIADA","","","",0,"OK","UI"
"2026-02-12 10:04:40","SystemStart","APLICACION_INICIADA","","","",0,"OK","UI"
"2026-02-12 10:05:35","SystemStart","RF07_INICIADO","","","Frecuencia: cada 24h, hora preferida: 2:00",0,"OK","SYSTEM"
"2026-02-12 10:05:37","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-12 10:05:43","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-12 10:05:52","SystemStop","RF07_DETENIDO","","","",0,"OK","SYSTEM"
"2026-02-12 10:05:53","SystemStart","RF07_INICIADO","","","Frecuencia: cada 24h, hora preferida: 2:00",0,"OK","SYSTEM"
"2026-02-12 10:05:55","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-12 10:05:56","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-12 10:05:56","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-12 10:05:56","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-12 10:05:57","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
